texto,sentimiento,compañía
"Excelente servicio de @PersonalPy, muy satisfecho",positivo,@PersonalPy
@TigoParaguay cumple lo justo con lo que promete,neutro,@TigoParaguay
Con @ClaroPY no he tenido novedades importantes,neutro,@ClaroPY
Estoy encantado con la estabilidad de @TigoParaguay,positivo,@TigoParaguay
"Todo depende del lugar, con @TigoParaguay es muy variable",neutro,@TigoParaguay
El router que me dio @PersonalPy vive fallando,negativo,@PersonalPy
La atención al cliente de @PersonalPy fue impecable,positivo,@PersonalPy
"No hay mucha diferencia con otras, @TigoParaguay es común",neutro,@TigoParaguay
"No hay mucha diferencia con otras, @PersonalPy es común",neutro,@PersonalPy
Nunca más vuelvo a contratar @TigoParaguay,negativo,@TigoParaguay
"En general el servicio de @ClaroPY es estable, aunque sin destacar",neutro,@ClaroPY
@ClaroPY tiene días buenos y otros no tanto,neutro,@ClaroPY
Gran cobertura y atención personalizada de @ClaroPY,positivo,@ClaroPY
Desde que contraté @PersonalPy todo es un desastre,negativo,@PersonalPy
Es un servicio aceptable el de @ClaroPY,neutro,@ClaroPY
El precio de @TigoParaguay está dentro del promedio,neutro,@TigoParaguay
No tengo quejas ni elogios por @ClaroPY,neutro,@ClaroPY
Es un servicio aceptable el de @PersonalPy,neutro,@PersonalPy
El precio de @ClaroPY está dentro del promedio,neutro,@ClaroPY
Cada vez que llamo a @ClaroPY me dejan esperando horas,negativo,@ClaroPY
Llevo días sin internet gracias a @ClaroPY,negativo,@ClaroPY
"No puedo confiar en @ClaroPY, siempre falla",negativo,@ClaroPY
"@PersonalPy funciona normal, nada fuera de lo común",neutro,@PersonalPy
"Algunas zonas tienen buena señal, otras no tanto con @TigoParaguay",neutro,@TigoParaguay
Con @PersonalPy el internet se cae cada rato,negativo,@PersonalPy
No puedo ni navegar con la lentitud de @TigoParaguay,negativo,@TigoParaguay
Los cortes de servicio son frecuentes con @ClaroPY,negativo,@ClaroPY
Mi experiencia con @TigoParaguay es neutra hasta ahora,neutro,@TigoParaguay
"Puedo usar mi celular con @TigoParaguay, pero no es nada especial",neutro,@TigoParaguay
@TigoParaguay da soluciones rápidas incluso en fin de semana,positivo,@TigoParaguay
@PersonalPy cumple lo justo con lo que promete,neutro,@PersonalPy
"Todo perfecto con @TigoParaguay, buena señal y atención",positivo,@TigoParaguay
Demasiado caro para un servicio tan malo el de @ClaroPY,negativo,@ClaroPY
"Estoy considerando cambiar de proveedor, @TigoParaguay no cumple",negativo,@TigoParaguay
@TigoParaguay me da más dolores de cabeza que soluciones,negativo,@TigoParaguay
"@TigoParaguay funciona normal, nada fuera de lo común",neutro,@TigoParaguay
Con @ClaroPY tengo buena señal hasta en viajes largos,positivo,@ClaroPY
Mi experiencia con @TigoParaguay es neutra hasta ahora,neutro,@TigoParaguay
@TigoParaguay me sorprendió con su velocidad,positivo,@TigoParaguay
La señal de @TigoParaguay es inestable todo el tiempo,negativo,@TigoParaguay
El internet de @PersonalPy no se cae nunca,positivo,@PersonalPy
El precio de @TigoParaguay está dentro del promedio,neutro,@TigoParaguay
Desde que contraté @TigoParaguay todo es un desastre,negativo,@TigoParaguay
Las promociones de @TigoParaguay son muy convenientes,positivo,@TigoParaguay
Todo funciona muy bien desde que estoy con @TigoParaguay,positivo,@TigoParaguay
El internet de @PersonalPy no se cae nunca,positivo,@PersonalPy
"@ClaroPY es una estafa, nada funciona bien",negativo,@ClaroPY
"@ClaroPY funciona normal, nada fuera de lo común",neutro,@ClaroPY
"@TigoParaguay mejora constantemente su red, lo noto cada mes",positivo,@TigoParaguay
"@ClaroPY es una estafa, nada funciona bien",negativo,@ClaroPY
Gran cobertura y atención personalizada de @PersonalPy,positivo,@PersonalPy
Con @ClaroPY el internet se cae cada rato,negativo,@ClaroPY
La conexión con @TigoParaguay es aceptable en general,neutro,@TigoParaguay
Mi experiencia con @ClaroPY es neutra hasta ahora,neutro,@ClaroPY
Nunca más vuelvo a contratar @PersonalPy,negativo,@PersonalPy
"Algunas zonas tienen buena señal, otras no tanto con @TigoParaguay",neutro,@TigoParaguay
"Servicio estándar de @PersonalPy, cumple con lo básico",neutro,@PersonalPy
Desde que contraté @ClaroPY todo es un desastre,negativo,@ClaroPY
El internet de @TigoParaguay no se cae nunca,positivo,@TigoParaguay
"Excelente servicio de @PersonalPy, muy satisfecho",positivo,@PersonalPy
La atención al cliente de @TigoParaguay fue impecable,positivo,@TigoParaguay
Con @PersonalPy no he tenido novedades importantes,neutro,@PersonalPy
Gran cobertura y atención personalizada de @TigoParaguay,positivo,@TigoParaguay
Cada vez que llamo a @PersonalPy me dejan esperando horas,negativo,@PersonalPy
Con @PersonalPy no he tenido novedades importantes,neutro,@PersonalPy
Cobertura regular de @TigoParaguay en zonas rurales,neutro,@TigoParaguay
Nunca tienen solución para mis problemas en @TigoParaguay,negativo,@TigoParaguay
Con @ClaroPY tengo días buenos y otros no tanto,neutro,@ClaroPY
@ClaroPY da soluciones rápidas incluso en fin de semana,positivo,@ClaroPY
Me cambié a @PersonalPy y fue la mejor decisión,positivo,@PersonalPy
Llevo días sin internet gracias a @PersonalPy,negativo,@PersonalPy
@PersonalPy tiene el mejor internet que he probado,positivo,@PersonalPy
Las facturas de @TigoParaguay siempre vienen claras y sin errores,positivo,@TigoParaguay
Ya hice varios reclamos a @TigoParaguay y nadie responde,negativo,@TigoParaguay
Con @TigoParaguay tengo buena señal hasta en viajes largos,positivo,@TigoParaguay
Pésima experiencia con el soporte técnico de @PersonalPy,negativo,@PersonalPy
Nunca más vuelvo a contratar @ClaroPY,negativo,@ClaroPY
"@TigoParaguay tiene sus altibajos, pero no es tan mala",neutro,@TigoParaguay
"No puedo confiar en @ClaroPY, siempre falla",negativo,@ClaroPY
Las actualizaciones de la app de @ClaroPY mejoran mucho la experiencia,positivo,@ClaroPY
"Pésimo servicio de @ClaroPY, sin señal todo el día",negativo,@ClaroPY
Malísima atención al cliente en @ClaroPY,negativo,@ClaroPY
Estoy encantado con la estabilidad de @TigoParaguay,positivo,@TigoParaguay
"No tuve grandes problemas con @TigoParaguay, pero tampoco sorpresas",neutro,@TigoParaguay
La app de @PersonalPy funciona aunque podría mejorar,neutro,@PersonalPy
Muy buen trato por parte de los técnicos de @ClaroPY,positivo,@ClaroPY
Pude cambiar de plan fácilmente con @PersonalPy,positivo,@PersonalPy
@TigoParaguay me cobra de más cada mes,negativo,@TigoParaguay
Todo el barrio tiene problemas con @TigoParaguay,negativo,@TigoParaguay
"Puedo usar mi celular con @TigoParaguay, pero no es nada especial",neutro,@TigoParaguay
Muy buen trato por parte de los técnicos de @ClaroPY,positivo,@ClaroPY
Cada mes tengo problemas con la facturación de @ClaroPY,negativo,@ClaroPY
@TigoParaguay me da más dolores de cabeza que soluciones,negativo,@TigoParaguay
Desde que contraté @ClaroPY todo es un desastre,negativo,@ClaroPY
Estoy harto de los cortes con @PersonalPy,negativo,@PersonalPy
@ClaroPY me da más dolores de cabeza que soluciones,negativo,@ClaroPY
Con @PersonalPy tengo días buenos y otros no tanto,neutro,@PersonalPy
Cobertura regular de @TigoParaguay en zonas rurales,neutro,@TigoParaguay
Los cortes de servicio son frecuentes con @ClaroPY,negativo,@ClaroPY
Todo funciona muy bien desde que estoy con @PersonalPy,positivo,@PersonalPy
"Excelente servicio de @TigoParaguay, muy satisfecho",positivo,@TigoParaguay
"Servicio estándar de @ClaroPY, cumple con lo básico",neutro,@ClaroPY
Estoy encantado con la estabilidad de @ClaroPY,positivo,@ClaroPY
Cobertura regular de @PersonalPy en zonas rurales,neutro,@PersonalPy
"No puedo confiar en @PersonalPy, siempre falla",negativo,@PersonalPy
Ningún problema con @ClaroPY en más de un año,positivo,@ClaroPY
La app de @PersonalPy funciona aunque podría mejorar,neutro,@PersonalPy
Demasiado caro para un servicio tan malo el de @PersonalPy,negativo,@PersonalPy
"Servicio estándar de @ClaroPY, cumple con lo básico",neutro,@ClaroPY
Decepcionado completamente con @TigoParaguay,negativo,@TigoParaguay
Llevo más de una semana esperando que @ClaroPY me llame,negativo,@ClaroPY
@PersonalPy me da más dolores de cabeza que soluciones,negativo,@PersonalPy
No noto diferencia importante desde que estoy con @ClaroPY,neutro,@ClaroPY
Ningún problema con @ClaroPY en más de un año,positivo,@ClaroPY
Con @TigoParaguay no he tenido novedades importantes,neutro,@TigoParaguay
Con @PersonalPy no he tenido novedades importantes,neutro,@PersonalPy
Estoy harto de los cortes con @PersonalPy,negativo,@PersonalPy
@ClaroPY da soluciones rápidas incluso en fin de semana,positivo,@ClaroPY
Todo el barrio tiene problemas con @PersonalPy,negativo,@PersonalPy
Estoy harto de los cortes con @ClaroPY,negativo,@ClaroPY
"@TigoParaguay funciona normal, nada fuera de lo común",neutro,@TigoParaguay
"Todo perfecto con @ClaroPY, buena señal y atención",positivo,@ClaroPY
Confío plenamente en el servicio de @TigoParaguay,positivo,@TigoParaguay
@ClaroPY no responde mis reclamos desde hace días,negativo,@ClaroPY
"@TigoParaguay es una estafa, nada funciona bien",negativo,@TigoParaguay
@ClaroPY me resulta útil aunque algo limitada,neutro,@ClaroPY
La app de @ClaroPY no sirve para nada,negativo,@ClaroPY
Pude cambiar de plan fácilmente con @PersonalPy,positivo,@PersonalPy
Las facturas de @ClaroPY siempre vienen claras y sin errores,positivo,@ClaroPY
Confío plenamente en el servicio de @PersonalPy,positivo,@PersonalPy
Muy buen trato por parte de los técnicos de @ClaroPY,positivo,@ClaroPY
Con @PersonalPy no he tenido novedades importantes,neutro,@PersonalPy
En mi zona @ClaroPY no se destaca ni falla mucho,neutro,@ClaroPY
"No es la mejor ni la peor, @TigoParaguay está bien",neutro,@TigoParaguay
"No hay mucha diferencia con otras, @TigoParaguay es común",neutro,@TigoParaguay
@TigoParaguay cumple lo justo con lo que promete,neutro,@TigoParaguay
Con @ClaroPY tengo días buenos y otros no tanto,neutro,@ClaroPY
Los cortes de servicio son frecuentes con @PersonalPy,negativo,@PersonalPy
En mi zona @PersonalPy no se destaca ni falla mucho,neutro,@PersonalPy
Los cortes de servicio son frecuentes con @ClaroPY,negativo,@ClaroPY
La app de @TigoParaguay funciona aunque podría mejorar,neutro,@TigoParaguay
@PersonalPy me cobra de más cada mes,negativo,@PersonalPy
El plan prometía mucho y @ClaroPY no cumplió nada,negativo,@ClaroPY
"@TigoParaguay tiene sus altibajos, pero no es tan mala",neutro,@TigoParaguay
Todo funciona muy bien desde que estoy con @TigoParaguay,positivo,@TigoParaguay
El precio de @PersonalPy está dentro del promedio,neutro,@PersonalPy
Nunca más vuelvo a contratar @ClaroPY,negativo,@ClaroPY
Muy buen trato por parte de los técnicos de @TigoParaguay,positivo,@TigoParaguay
Nunca tienen solución para mis problemas en @ClaroPY,negativo,@ClaroPY
Todo funciona muy bien desde que estoy con @TigoParaguay,positivo,@TigoParaguay
Los cortes de servicio son frecuentes con @PersonalPy,negativo,@PersonalPy
"Puedo usar mi celular con @ClaroPY, pero no es nada especial",neutro,@ClaroPY
Confío plenamente en el servicio de @TigoParaguay,positivo,@TigoParaguay
"@PersonalPy podría mejorar, pero no me ha ido mal",neutro,@PersonalPy
@ClaroPY es ideal para videollamadas y juegos online,positivo,@ClaroPY
@PersonalPy es ideal para videollamadas y juegos online,positivo,@PersonalPy
La app de @ClaroPY funciona aunque podría mejorar,neutro,@ClaroPY
No noto diferencia importante desde que estoy con @TigoParaguay,neutro,@TigoParaguay
Todo el barrio tiene problemas con @TigoParaguay,negativo,@TigoParaguay
@TigoParaguay me da más dolores de cabeza que soluciones,negativo,@TigoParaguay
Llevo días sin internet gracias a @TigoParaguay,negativo,@TigoParaguay
"No me puedo quejar demasiado de @PersonalPy, es aceptable",neutro,@PersonalPy
"@PersonalPy es una estafa, nada funciona bien",negativo,@PersonalPy
En mi zona @PersonalPy funciona mejor que las demás,positivo,@PersonalPy
La app de @PersonalPy no sirve para nada,negativo,@PersonalPy
Las promociones de @PersonalPy son muy convenientes,positivo,@PersonalPy
"No puedo confiar en @ClaroPY, siempre falla",negativo,@ClaroPY
Estoy satisfecho con la velocidad de respuesta de @PersonalPy,positivo,@PersonalPy
En mi zona @TigoParaguay funciona mejor que las demás,positivo,@TigoParaguay
Gran cobertura y atención personalizada de @PersonalPy,positivo,@PersonalPy
Con @ClaroPY tengo buena señal hasta en viajes largos,positivo,@ClaroPY
"No hay mucha diferencia con otras, @ClaroPY es común",neutro,@ClaroPY
"No hay mucha diferencia con otras, @PersonalPy es común",neutro,@PersonalPy
Ningún problema con @PersonalPy en más de un año,positivo,@PersonalPy
Llevo más de una semana esperando que @ClaroPY me llame,negativo,@ClaroPY
"No me molesta usar @PersonalPy, pero tampoco me entusiasma",neutro,@PersonalPy
Siempre resuelven mis consultas de forma amable en @PersonalPy,positivo,@PersonalPy
Es un servicio aceptable el de @PersonalPy,neutro,@PersonalPy
"No puedo confiar en @TigoParaguay, siempre falla",negativo,@TigoParaguay
Estoy encantado con la estabilidad de @ClaroPY,positivo,@ClaroPY
"Todo depende del lugar, con @ClaroPY es muy variable",neutro,@ClaroPY
Las facturas de @PersonalPy siempre vienen claras y sin errores,positivo,@PersonalPy
No tengo quejas ni elogios por @PersonalPy,neutro,@PersonalPy
Mi conexión con @PersonalPy siempre es rápida,positivo,@PersonalPy
Cada vez que llamo a @TigoParaguay me dejan esperando horas,negativo,@TigoParaguay
Estoy encantado con la estabilidad de @PersonalPy,positivo,@PersonalPy
La conexión con @ClaroPY es aceptable en general,neutro,@ClaroPY
No tengo quejas ni elogios por @TigoParaguay,neutro,@TigoParaguay
Estoy encantado con la estabilidad de @PersonalPy,positivo,@PersonalPy
Los cortes de servicio son frecuentes con @PersonalPy,negativo,@PersonalPy
Las promociones de @TigoParaguay son muy convenientes,positivo,@TigoParaguay
"Gracias @PersonalPy, resolvieron mi problema muy rápido",positivo,@PersonalPy
@PersonalPy no responde mis reclamos desde hace días,negativo,@PersonalPy
Ningún problema con @PersonalPy en más de un año,positivo,@PersonalPy
Desde que contraté @ClaroPY todo es un desastre,negativo,@ClaroPY
Es un servicio aceptable el de @PersonalPy,neutro,@PersonalPy
Los cortes de servicio son frecuentes con @TigoParaguay,negativo,@TigoParaguay
"@ClaroPY es una estafa, nada funciona bien",negativo,@ClaroPY
"Gracias @PersonalPy, resolvieron mi problema muy rápido",positivo,@PersonalPy
@PersonalPy me da más dolores de cabeza que soluciones,negativo,@PersonalPy
Me cambié a @ClaroPY y fue la mejor decisión,positivo,@ClaroPY
No noto diferencia importante desde que estoy con @ClaroPY,neutro,@ClaroPY
@TigoParaguay me da más dolores de cabeza que soluciones,negativo,@TigoParaguay
No tengo quejas ni elogios por @PersonalPy,neutro,@PersonalPy
No noto diferencia importante desde que estoy con @ClaroPY,neutro,@ClaroPY
Las facturas de @TigoParaguay siempre vienen claras y sin errores,positivo,@TigoParaguay
"No me puedo quejar demasiado de @ClaroPY, es aceptable",neutro,@ClaroPY
Con @ClaroPY tengo buena señal hasta en viajes largos,positivo,@ClaroPY
Malísima atención al cliente en @PersonalPy,negativo,@PersonalPy
@ClaroPY da soluciones rápidas incluso en fin de semana,positivo,@ClaroPY
"No me molesta usar @PersonalPy, pero tampoco me entusiasma",neutro,@PersonalPy
Siempre resuelven mis consultas de forma amable en @ClaroPY,positivo,@ClaroPY
La app de @PersonalPy no sirve para nada,negativo,@PersonalPy
"No tuve grandes problemas con @PersonalPy, pero tampoco sorpresas",neutro,@PersonalPy
Servicio muy profesional el de @PersonalPy,positivo,@PersonalPy
"No es la mejor ni la peor, @PersonalPy está bien",neutro,@PersonalPy
Ningún problema con @TigoParaguay en más de un año,positivo,@TigoParaguay
Con @PersonalPy no he tenido novedades importantes,neutro,@PersonalPy
Pésima experiencia con el soporte técnico de @PersonalPy,negativo,@PersonalPy
Con @PersonalPy el internet se cae cada rato,negativo,@PersonalPy
Malísima atención al cliente en @PersonalPy,negativo,@PersonalPy
Confío plenamente en el servicio de @TigoParaguay,positivo,@TigoParaguay
@TigoParaguay es ideal para videollamadas y juegos online,positivo,@TigoParaguay
"@ClaroPY tiene sus altibajos, pero no es tan mala",neutro,@ClaroPY
"No tuve grandes problemas con @PersonalPy, pero tampoco sorpresas",neutro,@PersonalPy
@PersonalPy tiene el mejor internet que he probado,positivo,@PersonalPy
Llevo más de una semana esperando que @PersonalPy me llame,negativo,@PersonalPy
Las actualizaciones de la app de @ClaroPY mejoran mucho la experiencia,positivo,@ClaroPY
Gran cobertura y atención personalizada de @PersonalPy,positivo,@PersonalPy
Llevo días sin internet gracias a @ClaroPY,negativo,@ClaroPY
La conexión de @PersonalPy es decente para tareas básicas,neutro,@PersonalPy
El plan prometía mucho y @ClaroPY no cumplió nada,negativo,@ClaroPY
"@ClaroPY podría mejorar, pero no me ha ido mal",neutro,@ClaroPY
@PersonalPy me cobra de más cada mes,negativo,@PersonalPy
La conexión con @ClaroPY es aceptable en general,neutro,@ClaroPY
"No puedo confiar en @ClaroPY, siempre falla",negativo,@ClaroPY
@TigoParaguay me sorprendió con su velocidad,positivo,@TigoParaguay
Cada mes tengo problemas con la facturación de @TigoParaguay,negativo,@TigoParaguay
"@TigoParaguay tiene sus altibajos, pero no es tan mala",neutro,@TigoParaguay
Llevo días sin internet gracias a @TigoParaguay,negativo,@TigoParaguay
@TigoParaguay no responde mis reclamos desde hace días,negativo,@TigoParaguay
Estoy feliz con el rendimiento de @ClaroPY,positivo,@ClaroPY
Gran cobertura y atención personalizada de @PersonalPy,positivo,@PersonalPy
La atención al cliente de @PersonalPy fue impecable,positivo,@PersonalPy
En mi zona @PersonalPy funciona mejor que las demás,positivo,@PersonalPy
@ClaroPY tiene la mejor relación calidad-precio,positivo,@ClaroPY
@PersonalPy me cobra de más cada mes,negativo,@PersonalPy
No noto diferencia importante desde que estoy con @ClaroPY,neutro,@ClaroPY
Gran cobertura y atención personalizada de @TigoParaguay,positivo,@TigoParaguay
La señal de @ClaroPY es inestable todo el tiempo,negativo,@ClaroPY
No tengo quejas ni elogios por @TigoParaguay,neutro,@TigoParaguay
Confío plenamente en el servicio de @TigoParaguay,positivo,@TigoParaguay
Me quedé sin servicio de @PersonalPy justo en una videollamada,negativo,@PersonalPy
"Estoy considerando cambiar de proveedor, @TigoParaguay no cumple",negativo,@TigoParaguay
@TigoParaguay me da más dolores de cabeza que soluciones,negativo,@TigoParaguay
Nunca tienen solución para mis problemas en @PersonalPy,negativo,@PersonalPy
@PersonalPy tiene la mejor relación calidad-precio,positivo,@PersonalPy
La conexión con @ClaroPY es aceptable en general,neutro,@ClaroPY
Con @ClaroPY el internet se cae cada rato,negativo,@ClaroPY
Confío plenamente en el servicio de @PersonalPy,positivo,@PersonalPy
Gran cobertura y atención personalizada de @ClaroPY,positivo,@ClaroPY
Las promociones de @PersonalPy son muy convenientes,positivo,@PersonalPy
"No es la mejor ni la peor, @PersonalPy está bien",neutro,@PersonalPy
Con @ClaroPY no he tenido novedades importantes,neutro,@ClaroPY
Con @PersonalPy no he tenido novedades importantes,neutro,@PersonalPy
"Algunas zonas tienen buena señal, otras no tanto con @TigoParaguay",neutro,@TigoParaguay
"@TigoParaguay funciona normal, nada fuera de lo común",neutro,@TigoParaguay
Demasiado caro para un servicio tan malo el de @PersonalPy,negativo,@PersonalPy
"@TigoParaguay mejora constantemente su red, lo noto cada mes",positivo,@TigoParaguay
Gran cobertura y atención personalizada de @TigoParaguay,positivo,@TigoParaguay
"No me puedo quejar demasiado de @ClaroPY, es aceptable",neutro,@ClaroPY
El internet de @PersonalPy no se cae nunca,positivo,@PersonalPy
Decepcionado completamente con @PersonalPy,negativo,@PersonalPy
"Algunas zonas tienen buena señal, otras no tanto con @TigoParaguay",neutro,@TigoParaguay
La atención al cliente de @ClaroPY fue impecable,positivo,@ClaroPY
@PersonalPy tiene días buenos y otros no tanto,neutro,@PersonalPy
La señal de @TigoParaguay es inestable todo el tiempo,negativo,@TigoParaguay
Los cortes de servicio son frecuentes con @TigoParaguay,negativo,@TigoParaguay
La señal de @ClaroPY es inestable todo el tiempo,negativo,@ClaroPY
Estoy encantado con la estabilidad de @PersonalPy,positivo,@PersonalPy
Estoy encantado con la estabilidad de @TigoParaguay,positivo,@TigoParaguay
En mi zona @PersonalPy funciona mejor que las demás,positivo,@PersonalPy
Pude cambiar de plan fácilmente con @ClaroPY,positivo,@ClaroPY
Con @PersonalPy no he tenido novedades importantes,neutro,@PersonalPy
Nunca más vuelvo a contratar @PersonalPy,negativo,@PersonalPy
Las promociones de @PersonalPy son muy convenientes,positivo,@PersonalPy
"@ClaroPY es una estafa, nada funciona bien",negativo,@ClaroPY
Cobertura regular de @ClaroPY en zonas rurales,neutro,@ClaroPY
@TigoParaguay tiene el mejor internet que he probado,positivo,@TigoParaguay
Mi experiencia con @PersonalPy es neutra hasta ahora,neutro,@PersonalPy
No tengo quejas ni elogios por @ClaroPY,neutro,@ClaroPY
Con @PersonalPy el internet se cae cada rato,negativo,@PersonalPy
Con @TigoParaguay tengo días buenos y otros no tanto,neutro,@TigoParaguay
"No tuve grandes problemas con @ClaroPY, pero tampoco sorpresas",neutro,@ClaroPY
Cada vez que llamo a @ClaroPY me dejan esperando horas,negativo,@ClaroPY
@ClaroPY me sorprendió con su velocidad,positivo,@ClaroPY
"@TigoParaguay tiene sus altibajos, pero no es tan mala",neutro,@TigoParaguay
@PersonalPy me resulta útil aunque algo limitada,neutro,@PersonalPy
"Servicio estándar de @ClaroPY, cumple con lo básico",neutro,@ClaroPY
Las actualizaciones de la app de @PersonalPy mejoran mucho la experiencia,positivo,@PersonalPy
"Con @ClaroPY tengo lo que espero, nada más",neutro,@ClaroPY
Estoy feliz con el rendimiento de @PersonalPy,positivo,@PersonalPy
Todo el barrio tiene problemas con @PersonalPy,negativo,@PersonalPy
Me cambié a @PersonalPy y fue la mejor decisión,positivo,@PersonalPy
"@PersonalPy mejora constantemente su red, lo noto cada mes",positivo,@PersonalPy
En mi zona @ClaroPY funciona mejor que las demás,positivo,@ClaroPY
La conexión con @ClaroPY es aceptable en general,neutro,@ClaroPY
Todo funciona muy bien desde que estoy con @TigoParaguay,positivo,@TigoParaguay
La señal de @PersonalPy es inestable todo el tiempo,negativo,@PersonalPy
@TigoParaguay da soluciones rápidas incluso en fin de semana,positivo,@TigoParaguay
Nunca tienen solución para mis problemas en @TigoParaguay,negativo,@TigoParaguay
La señal de @ClaroPY es inestable todo el tiempo,negativo,@ClaroPY
"Excelente servicio de @TigoParaguay, muy satisfecho",positivo,@TigoParaguay
La app de @PersonalPy no sirve para nada,negativo,@PersonalPy
Me cambié a @ClaroPY y fue la mejor decisión,positivo,@ClaroPY
Cada mes tengo problemas con la facturación de @ClaroPY,negativo,@ClaroPY
Cada vez que llamo a @ClaroPY me dejan esperando horas,negativo,@ClaroPY
"Estoy considerando cambiar de proveedor, @TigoParaguay no cumple",negativo,@TigoParaguay
Uso @PersonalPy solo para cosas simples y me alcanza,neutro,@PersonalPy
En mi zona @TigoParaguay funciona mejor que las demás,positivo,@TigoParaguay
"Muy buena cobertura en mi zona, gracias @ClaroPY",positivo,@ClaroPY
"Servicio estándar de @TigoParaguay, cumple con lo básico",neutro,@TigoParaguay
Estoy satisfecho con la velocidad de respuesta de @PersonalPy,positivo,@PersonalPy
Cobertura regular de @ClaroPY en zonas rurales,neutro,@ClaroPY
"No hay mucha diferencia con otras, @PersonalPy es común",neutro,@PersonalPy
@ClaroPY me resulta útil aunque algo limitada,neutro,@ClaroPY
La conexión con @PersonalPy es aceptable en general,neutro,@PersonalPy
"No me molesta usar @TigoParaguay, pero tampoco me entusiasma",neutro,@TigoParaguay
"Gracias @ClaroPY, resolvieron mi problema muy rápido",positivo,@ClaroPY
La conexión con @ClaroPY es aceptable en general,neutro,@ClaroPY
"Todo depende del lugar, con @PersonalPy es muy variable",neutro,@PersonalPy
@TigoParaguay me sorprendió con su velocidad,positivo,@TigoParaguay
